canonical,meaning,summary,source_volume,source_headword
〜かもしれない,Can't tell if ~,Can't tell if ~,Basic,かもしれない
〜がる,An auxiliary verb attached to a psychological/physiological adjective meaning a person other than the speaker shows signs of ~,An auxiliary verb attached to a psychological/physiological adjective meaning a person other than the speaker shows signs of ~,Basic,がる
〜ことにする,A volitional decision to do something is made.,A volitional decision to do something is made.,Basic,ことにする
〜ごろ,Approximately (with a specific point of time).,Approximately (with a specific point of time).,Basic,ごろ
〜し,A conjunction to indicate ‘and’ in an emphatic way.,A conjunction to indicate ‘and’ in an emphatic way.,Basic,し
〜たい,An auxiliary adjective which expresses a desire to do something.,An auxiliary adjective which expresses a desire to do something.,Basic,たい
〜たら,A subordinate conjunction which indicates that the action/state expressed by the main clause in a sentence takes place after the action/state expressed by the subordinate clause.,A subordinate conjunction which indicates that the action/state expressed by the main clause in a sentence takes place after the action/state expressed by the subordinate clause.,Basic,たら
〜たらどうですか,A phrase which expresses a suggestion (literally: How would you feel if you do something?),A phrase which expresses a suggestion (literally: How would you feel if you do something?),Basic,たらどうですか
〜だろう,An auxiliary indicating the speaker’s conjecture which is not based on any particular information or evidence.,An auxiliary indicating the speaker’s conjecture which is not based on any particular information or evidence.,Basic,だろう
〜つもり,An intention or conviction of a speaker (or a person with whom the speaker can empathise) about his future or past actions or current state.,An intention or conviction of a speaker (or a person with whom the speaker can empathise) about his future or past actions or current state.,Basic,つもり
〜ても,[x] is used when that which is expressed in the main clause is not what is expected from the content of the dependent ([x]) clause.,[x] is used when that which is expressed in the main clause is not what is expected from the content of the dependent ([x]) clause.,Basic,ても
〜てもいい,A phrase which expresses persmission or concession.,A phrase which expresses persmission or concession.,Basic,てもいい
〜ないで,A negative て form of a verb.,A negative て form of a verb.,Basic,ないで
〜ながら,A conjunction which indicates that the action expressed by the preceding verb takes place concurrently or simultaneously with the action expressed in the main clause.,A conjunction which indicates that the action expressed by the preceding verb takes place concurrently or simultaneously with the action expressed in the main clause.,Basic,ながら
〜なくて,"A て form of the negative ない, which indicates a cause/reason for a state or action.","A て form of the negative ない, which indicates a cause/reason for a state or action.",Basic,なくて
〜なくなる,It has reached the point where some state or action does not take place anymore.,It has reached the point where some state or action does not take place anymore.,Basic,なくなる
〜なさい,A polite imperative used by superiors such as parents or teachers to their inferiors (=people of younger age and lower rank),A polite imperative used by superiors such as parents or teachers to their inferiors (=people of younger age and lower rank),Basic,なさい
〜なら,A conjunction which indicates that the preceding sentence is the speaker’s supposition about the truth of a present or past fact or the actualisation of something in the future.,A conjunction which indicates that the preceding sentence is the speaker’s supposition about the truth of a present or past fact or the actualisation of something in the future.,Basic,なら
〜にする,Someone has decided on something.,Someone has decided on something.,Basic,にする
〜ので,A subordinate conjunction which expresses a reason or a cause.,A subordinate conjunction which expresses a reason or a cause.,Basic,ので
〜ば,A conjunction which indicates that the preceding clause expresses a conditional.,A conjunction which indicates that the preceding clause expresses a conditional.,Basic,ば
