volume,headword,dojg_entry_id,dojg_summary,audit_action,proposed_canonical,normalization_status,canonical_entry_count,needs_collision_review
Basic,にする,36bf068e5322d886202196f7035f48d6a3819b86d4094fdcfdfa93ece04eae4b,Someone has decided on something.,safe_exact_link_candidate,〜にする,existing_canonical,2,True
Basic,Relative Clause,570c4490e28777ae791856b994d845da8ad68ebeb3a1b9e3a92cac781990cd0d,,new_canonical_candidate,Relative Clause,normalized_new,2,True
Basic,する (1),fc63e7dd97fafbbde3e7e80d637d44300e9f473dc3bbfc3c3a9ec9a2479e8db7,Someone/something causes a state or action to take place.,new_canonical_candidate,〜にする,sense_reconciled,2,True
Basic,と (3),eb657367bd2e22781f91836bf8aaa53cc4162f7e788adbb869db121075c56e36,"A particle which marks a quotation, sound or the manner in which someone/something does something.",new_canonical_candidate,〜と（引用・様態）,sense_reconciled,2,True
Basic,も,f404bdcf660b06bae39efe17590a53393213401286bbd172a45dc538777d2442,A particle which indicates that a proposition about the preceeding element X is also true when another similar proposition is true.,new_canonical_candidate,〜も（追加）,sense_reconciled,2,True
Basic,も~も,9bec49a5c36ce49ba4a7ccffb75fdcfccdb78c43ea4cccbb349e0c868fe2e71f,The repeated use of a particle meaning ‘also’ to list elements belonging to the same part of speech.,new_canonical_candidate,〜も〜も,sense_reconciled,2,True
Basic,もの（だ）,2964b6019f8732abcdee1e1ef1b5fa1d42810c2d956ecf6fc39ea15db12076f2,The speaker presents some situation as if it were a tangible object.,new_canonical_candidate,〜ものだ,sense_reconciled,2,True
Basic,より (1),4795a16bd9ba9070b6f6d8a2804a10d47a41826c93030eff564581d196735d3d,A particle which indicates that something/someone is being compared with something/someone.,new_canonical_candidate,〜より（比較）,sense_reconciled,2,True
Intermediate,Relative Clause,ca0eced7d52db0758e25774d3ccc57780720a62ac0d01bfdc906ddff6f69277e,,new_canonical_candidate,Relative Clause,normalized_new,2,True
Intermediate,と,3fcc9f6b58cac841ff3ddefe464270650e0c03174522def6a3848b59a90f6020,"A particle which makes an adverbial clause, with a verb of saying/thinking/understood after it.",new_canonical_candidate,〜と（引用・様態）,sense_reconciled,2,True
Intermediate,も,5149b65a93dac18d5f15abf82eb2f44a10d9c57e1443468a7345f21870df5114,A particle which implies that something else is also (not) the case.,new_canonical_candidate,〜も（追加）,sense_reconciled,2,True
Intermediate,も~も,db837f48a9cd976776727e798cd0f268dd368643a445d341bc3ed10b3f28c307,A structure which presents two states or actions of someone or something.,new_canonical_candidate,〜も〜も,sense_reconciled,2,True
Intermediate,もの（だ）,1382da842e29911ec1c1eb6df641d59aed31c1cfd52e4c4189d209e415e14d17,A dependent noun which is used to create a sentence structure which presents a characteristic of something.,new_canonical_candidate,〜ものだ,sense_reconciled,2,True
Intermediate,より,691b24afe2f7a1d98e6b4023983d689cfec6ca665adaab939f577d99ac7afbc2,An adverb which forms the comparative of an adjective or an adverb to mean 'more ~ than now or than otherwise'.,new_canonical_candidate,〜より（比較）,sense_reconciled,2,True
Advanced,だけ,28e6a5ba853b7e89a51e94f6110fad798e44f2bf9123dcef3f6f110e8124cb1a,A particle meaning “to the extent that someone (can/wants to) do something or something can happen”.,review_same_headword_multiple_dojg_entries,〜だけ,existing_canonical,2,True
Basic,くらい,1e2366bb59fd78a3371c546c6b74823bc3589ffca9f8fef3d3ef738af3848206,Approximate quantity or extent.,review_same_headword_multiple_dojg_entries,〜くらい,existing_canonical,2,True
Basic,ことになる,66b7041ee76e0578dde33d8ba94acda28fb3dbb10cdd48e938c90d01618836ec,"An event takes place as if spontaneously, irrespective of the speaker's volition.",review_same_headword_multiple_dojg_entries,〜ことになる,existing_canonical,2,True
Basic,だけ,ae49bf94b657ba8f7eaf4fd4706f960512f27beb20185c5e533d155906ef2788,A particle which expresses a limit imposed upon something that is growing and expanding.,review_same_headword_multiple_dojg_entries,〜だけ,existing_canonical,2,True
Basic,ほど,202e7967ae292c9056e4f073743a313756d67289818f3017385ae6790e54b632,A particle which indicates an extent or a degree to which someone/something does something or is in some state.,review_same_headword_multiple_dojg_entries,〜ほど,existing_canonical,2,True
Intermediate,くらい,d02d2ddd2a53b74032bfa26428db097054aed240f824d9c81b40d645d32e9045,A particle which is used to express the degree of a state.,review_same_headword_multiple_dojg_entries,〜くらい,existing_canonical,2,True
Intermediate,ことになる,9ffb1d84ca5ccb001dacebd4b86d63d8c5d55f8d552cf9b1186c395e37933561,A phrase which indicates that an action or event leads to a certain situation or logical conclusion.,review_same_headword_multiple_dojg_entries,〜ことになる,existing_canonical,2,True
Intermediate,ほど,af9d9aa26f7df314003dfeffcf6e44e794f8b87b8ab73e88abd97ba76d4acbc7,A particle which indicates the extent or the degree to which someone/something does something or is in some state.,review_same_headword_multiple_dojg_entries,〜ほど,existing_canonical,2,True
