volume,headword,dojg_entry_id,decision,canonical,relationship,summary
Basic,かもしれない,e5ee6401e46cead8c7e7453f726270b929419d0feaac986288ba57566f9d0b71,link_existing,〜かもしれない,primary,Can't tell if ~
Basic,がる,8694cb88db13394cf27a79fd793fa92c15c05108aebffb5867c1c3190e4cae04,link_existing,〜がる,primary,An auxiliary verb attached to a psychological/physiological adjective meaning a person other than the speaker shows signs of ~
Basic,ことにする,ab4dc23557901ecfad9a163f89478906f209fc80f460b3d57080bad5922aa44c,link_existing,〜ことにする,primary,A volitional decision to do something is made.
Basic,ごろ,816f0fc528c9c3768eed5efbb24eac67e2799c184b072020a032810361bd1603,link_existing,〜ごろ,primary,Approximately (with a specific point of time).
Basic,し,caf53720566e616f002a0fdf82dbee73dc92105a549fc4d163a9d2112af65bfd,link_existing,〜し,primary,A conjunction to indicate ‘and’ in an emphatic way.
Basic,たい,68f68ffc891b59f4c596da0ddde263e6e38aba0d3c41d2a27b91c726621b616a,link_existing,〜たい,primary,An auxiliary adjective which expresses a desire to do something.
Basic,たら,582b4162bc56e6076ee2388eec55d90a737483ed4d28c323c0683aea91ac4e27,link_existing,〜たら,primary,A subordinate conjunction which indicates that the action/state expressed by the main clause in a sentence takes place after the action/state expressed by the subordinate clause.
Basic,たらどうですか,d1c0314021a6286ad45c33d62309e0cc14e9ca850a4f7bc854c39c9e1ec7c523,link_existing,〜たらどうですか,primary,A phrase which expresses a suggestion (literally: How would you feel if you do something?)
Basic,だろう,b877c0833faab51d270499bca1f859406ae840f1307f2b19cff4d1c55c384f2e,link_existing,〜だろう,primary,An auxiliary indicating the speaker’s conjecture which is not based on any particular information or evidence.
Basic,つもり,303edabcf154796478f843fd8477523c18c03afa94d776408b7b69be96bffb09,link_existing,〜つもり,primary,An intention or conviction of a speaker (or a person with whom the speaker can empathise) about his future or past actions or current state.
Basic,ても,94125fd0746fd029dfdee324db7142c44b56cd93d1858078ebd8e5fca3a29509,link_existing,〜ても,primary,[x] is used when that which is expressed in the main clause is not what is expected from the content of the dependent ([x]) clause.
Basic,てもいい,766ed9ae7af609bd97da443e7e1da0c234832042b45fffb34f0553d74f879498,link_existing,〜てもいい,primary,A phrase which expresses persmission or concession.
Basic,ないで,40da54baabae26f65557d6c83dc2d0c8881781e173711dc45688291dec8669cc,link_existing,〜ないで,primary,A negative て form of a verb.
Basic,ながら,cba5c29c7a294c9406b1135ead7b2e3aa74db73369ed237a9098e155772fd215,link_existing,〜ながら,primary,A conjunction which indicates that the action expressed by the preceding verb takes place concurrently or simultaneously with the action expressed in the main clause.
Basic,なくて,188bbb7003a7b55936b3b73aaf681f648673db2cac927ff035c452b3e754c013,link_existing,〜なくて,primary,"A て form of the negative ない, which indicates a cause/reason for a state or action."
Basic,なくなる,5e320824d5cea517debbd11987c1af4769ff7338153115cc79897e475a298979,link_existing,〜なくなる,primary,It has reached the point where some state or action does not take place anymore.
Basic,なさい,6f12b36433e9d4564fb93813601707ecf983d9e9a54a270a500d616d82b9f4de,link_existing,〜なさい,primary,A polite imperative used by superiors such as parents or teachers to their inferiors (=people of younger age and lower rank)
Basic,なら,5ce582df7da7b190c50662e4d006a734c05e92ec06e42e732ad010322ef60cde,link_existing,〜なら,primary,A conjunction which indicates that the preceding sentence is the speaker’s supposition about the truth of a present or past fact or the actualisation of something in the future.
Basic,にする,36bf068e5322d886202196f7035f48d6a3819b86d4094fdcfdfa93ece04eae4b,link_existing,〜にする,primary,Someone has decided on something.
Basic,ので,a6596fb24b5eafe91f5356f70a7b7bf928ede9f0fc751d66cec050ec3b42028b,link_existing,〜ので,primary,A subordinate conjunction which expresses a reason or a cause.
Basic,ば,e095c5ffe8379ffae1303ea6a1e5294af054bbe7709d53499cea52e21489167f,link_existing,〜ば,primary,A conjunction which indicates that the preceding clause expresses a conditional.
Basic,はず,857e5f23b465bd49e712145545e0c7333fcc7f7ef46d92d3ad5af1a789989bcb,link_existing,〜はず,primary,A dependant noun which expresses the speaker’s expectation that something will take place or took place or that someone/something is or was in some state.
Basic,ばよかった,b5bac89bdb57a66d716260dd778a3c1fd057ab24a080b2d61989b268551e0a53,link_existing,〜ばよかった,primary,A phrase which expresses the speaker’s regret.
Basic,まで,6d790ec055c52847ab6de4634eca1ba8f3c330652737ea777b5028e3fa26f538,link_existing,〜まで,primary,"A particle to indicate a spatial, temporal or quantitative limit or an unexpected animate/inanimate object."
Basic,までに,edfe86e8a09100c15bc571ae3a6840e3f045e03a789b7c55f199b39eb25c215e,link_existing,〜までに,primary,A particle that indicates a time limit on/for an action.
Basic,ようだ,dae4b7ed60100765e4f68772cdd695b24fda3a1187d75417fac015965df0cad5,link_existing,〜ようだ,primary,An auxiliary な type adjective which expresses the likelihood of something/someone or the likeness of something/someone to something/someone.
Basic,ようと思う,5ea76fb507e61359dc46bdf1dd9c9e7d43b12c80681da9a9b97c6c5ffd550a67,link_existing,〜ようと思う,primary,The speaker desires or decides to do something.
Basic,ようにする,855def453b5199081272693e4ac1aa9bde6d00324092a86f494b54e2d3218d4f,link_existing,〜ようにする,primary,Someone causes some circumstantial or behavioural change to take place.
Basic,ようになる,84f5e1ffcf463b3985ad0c2425107edd03797e32f723d4da9f1da8358071fbe4,link_existing,〜ようになる,primary,Some change takes place gradually.
