volume,headword,dojg_entry_id,dojg_summary,audit_action,proposed_canonical,normalization_status,canonical_entry_count,needs_collision_review
Basic,かもしれない,e5ee6401e46cead8c7e7453f726270b929419d0feaac986288ba57566f9d0b71,Can't tell if ~,safe_exact_link_candidate,〜かもしれない,existing_canonical,1,False
Basic,がる,8694cb88db13394cf27a79fd793fa92c15c05108aebffb5867c1c3190e4cae04,An auxiliary verb attached to a psychological/physiological adjective meaning a person other than the speaker shows signs of ~,safe_exact_link_candidate,〜がる,existing_canonical,1,False
Basic,ことにする,ab4dc23557901ecfad9a163f89478906f209fc80f460b3d57080bad5922aa44c,A volitional decision to do something is made.,safe_exact_link_candidate,〜ことにする,existing_canonical,1,False
Basic,ごろ,816f0fc528c9c3768eed5efbb24eac67e2799c184b072020a032810361bd1603,Approximately (with a specific point of time).,safe_exact_link_candidate,〜ごろ,existing_canonical,1,False
Basic,し,caf53720566e616f002a0fdf82dbee73dc92105a549fc4d163a9d2112af65bfd,A conjunction to indicate ‘and’ in an emphatic way.,safe_exact_link_candidate,〜し,existing_canonical,1,False
Basic,たい,68f68ffc891b59f4c596da0ddde263e6e38aba0d3c41d2a27b91c726621b616a,An auxiliary adjective which expresses a desire to do something.,safe_exact_link_candidate,〜たい,existing_canonical,1,False
Basic,たら,582b4162bc56e6076ee2388eec55d90a737483ed4d28c323c0683aea91ac4e27,A subordinate conjunction which indicates that the action/state expressed by the main clause in a sentence takes place after the action/state expressed by the subordinate clause.,safe_exact_link_candidate,〜たら,existing_canonical,1,False
Basic,たらどうですか,d1c0314021a6286ad45c33d62309e0cc14e9ca850a4f7bc854c39c9e1ec7c523,A phrase which expresses a suggestion (literally: How would you feel if you do something?),safe_exact_link_candidate,〜たらどうですか,existing_canonical,1,False
Basic,だろう,b877c0833faab51d270499bca1f859406ae840f1307f2b19cff4d1c55c384f2e,An auxiliary indicating the speaker’s conjecture which is not based on any particular information or evidence.,safe_exact_link_candidate,〜だろう,existing_canonical,1,False
Basic,つもり,303edabcf154796478f843fd8477523c18c03afa94d776408b7b69be96bffb09,An intention or conviction of a speaker (or a person with whom the speaker can empathise) about his future or past actions or current state.,safe_exact_link_candidate,〜つもり,existing_canonical,1,False
Basic,ても,94125fd0746fd029dfdee324db7142c44b56cd93d1858078ebd8e5fca3a29509,[x] is used when that which is expressed in the main clause is not what is expected from the content of the dependent ([x]) clause.,safe_exact_link_candidate,〜ても,existing_canonical,1,False
Basic,てもいい,766ed9ae7af609bd97da443e7e1da0c234832042b45fffb34f0553d74f879498,A phrase which expresses persmission or concession.,safe_exact_link_candidate,〜てもいい,existing_canonical,1,False
Basic,ないで,40da54baabae26f65557d6c83dc2d0c8881781e173711dc45688291dec8669cc,A negative て form of a verb.,safe_exact_link_candidate,〜ないで,existing_canonical,1,False
Basic,ながら,cba5c29c7a294c9406b1135ead7b2e3aa74db73369ed237a9098e155772fd215,A conjunction which indicates that the action expressed by the preceding verb takes place concurrently or simultaneously with the action expressed in the main clause.,safe_exact_link_candidate,〜ながら,existing_canonical,1,False
Basic,なくて,188bbb7003a7b55936b3b73aaf681f648673db2cac927ff035c452b3e754c013,"A て form of the negative ない, which indicates a cause/reason for a state or action.",safe_exact_link_candidate,〜なくて,existing_canonical,1,False
Basic,なくなる,5e320824d5cea517debbd11987c1af4769ff7338153115cc79897e475a298979,It has reached the point where some state or action does not take place anymore.,safe_exact_link_candidate,〜なくなる,existing_canonical,1,False
Basic,なさい,6f12b36433e9d4564fb93813601707ecf983d9e9a54a270a500d616d82b9f4de,A polite imperative used by superiors such as parents or teachers to their inferiors (=people of younger age and lower rank),safe_exact_link_candidate,〜なさい,existing_canonical,1,False
Basic,なら,5ce582df7da7b190c50662e4d006a734c05e92ec06e42e732ad010322ef60cde,A conjunction which indicates that the preceding sentence is the speaker’s supposition about the truth of a present or past fact or the actualisation of something in the future.,safe_exact_link_candidate,〜なら,existing_canonical,1,False
Basic,にする,36bf068e5322d886202196f7035f48d6a3819b86d4094fdcfdfa93ece04eae4b,Someone has decided on something.,safe_exact_link_candidate,〜にする,existing_canonical,2,True
