canonical,meaning,summary,formation,usage,nuance
〜の（代名詞）,the one; ones,Replaces a previously understood noun with の.,普通形 + の,Use when the omitted noun is clear from context.,Do not confuse this with nominalizing の.
名詞修飾節,noun-modifying clause,A clause placed before a noun to identify or describe that noun.,普通形 + 名詞,Use a plain-form clause directly before the noun it modifies.,The modified noun can take particles according to its role in the main clause.
〜時,when; at the time,Marks the time at which another event or state occurs.,普通形 + 時,"Use with nouns, adjectives and verbs to locate an event in time.",Tense inside the 時-clause is interpreted relative to the main event.
〜みたいだ,seems; looks like; is like,Casual expression for resemblance or inference.,普通形 / 名詞 + みたいだ,Use for resemblance and speaker inference in conversation.,More conversational than 〜ようだ.
〜ようだ,seems; appears; is like,Expresses resemblance or an inference based on available evidence.,普通形 + ようだ,"Use for resemblance, examples, or inference depending on context.",More formal/written than 〜みたいだ.
〜こと（名詞化）,the act/fact of; nominalizer,Turns a clause into a noun-like unit.,普通形 + こと,Use when a verb clause must function as a noun phrase.,Often sounds more abstract or formal than nominalizing の.
〜てから,after doing; since doing,Shows that one event follows completion of another.,Vて + から,Use when the second action occurs after the first is completed.,Different from causal から.
〜方,way of doing; how to,Forms a noun meaning the way or method of performing an action.,Vます-stem + 方,Use to ask or explain how something is done.,The resulting expression behaves as a noun.
可能形,can; be able to,Verb morphology expressing ability or possibility.,verb potential form,Use to express what someone can do or what is possible.,Particles may differ from the corresponding transitive construction.
〜前に,before doing,Places one event before another.,V辞書形 / Nの + 前に,Use when the main event happens before the reference event.,The verb before 前に normally appears in non-past form.
〜後で,after doing,Places one event after another.,Vた形 / Nの + 後で,Use when the main event happens after the reference event.,Often contrasts with 〜てから in how strongly sequence is emphasized.
〜ておく,do in advance; leave as is,Describes an action performed in preparation or a state intentionally left unchanged.,Vて + おく,Use for preparation or deliberately maintaining a resulting condition.,Casual speech often contracts ておく to とく.
〜たら,if; when; after,Conditional formed from the past-form base plus ら.,普通形た + ら,"Use for hypothetical conditions, discovered situations, or temporal sequence.",Flexible conditional; interpretation depends on context.
〜ようと思う,intend to; think I will,Expresses a decision or intention held by the speaker.,V意向形 + と思う,Use for personal plans or intentions.,〜と思っている presents an intention held over time.
〜も（強調）,as many/much as; even,Adds emphasis to a quantity or item beyond ordinary expectation.,数量 / 名詞 + も,Use when a quantity or item is noteworthy or surprising.,Meaning depends strongly on what も marks.
〜そうだ（伝聞）,I hear that; they say,Reports information obtained from another source.,普通形 + そうだ,Use to report hearsay without presenting it as direct observation.,Do not confuse with appearance 〜そうだ.
〜ながら,while doing,Links two actions performed by the same subject at the same time.,Vます-stem + ながら,Use when one person performs two overlapping actions.,The action after ながら is usually the main action.
〜てはいけない,must not; may not,Expresses prohibition.,Vて + はいけない,Use to state that an action is prohibited.,Can sound strong; softer alternatives are common in conversation.
〜なくてはいけない,must; have to,Expresses obligation through a negative conditional-like form.,Vなくて + はいけない,Use for duties and requirements.,Common spoken contractions include なくちゃ and なきゃ.
〜なくてもいい,do not have to,Expresses lack of necessity.,Vなくても + いい,Use to say an action is optional or unnecessary.,Not the same as prohibition.
自動詞・他動詞,intransitive and transitive verbs,Distinguishes events that occur without an expressed agent-object relation from actions done to an object.,自動詞 / 他動詞 pair,Use the verb type that matches whether the sentence describes a state/change or an intentional action on an object.,Japanese often lexicalizes this distinction with paired verbs.
〜ている,be doing; be in a resulting state,"Expresses ongoing activity, habitual action, or a state resulting from change.",Vて + いる,Interpret according to verb type and context.,With change-of-state intransitives it often describes the resulting state.
〜てある,has been done; is left done,Describes a resulting state intentionally created by someone.,他動詞Vて + ある,Use when a visible/current state is the result of a deliberate action.,"Focuses the resulting state, not the actor."
〜てしまう,finish completely; unfortunately do,Expresses completion or an unwanted/regrettable result.,Vて + しまう,Use for total completion or when the speaker views the outcome negatively.,Casual contractions include ちゃう / じゃう.
〜かもしれない,might; may,Expresses possibility with limited certainty.,普通形 + かもしれない,Use when something is possible but not certain.,Less certain than 〜だろう / 〜でしょう.
〜すぎる,too much; excessively,Indicates that a degree or action exceeds an appropriate level.,Vます-stem / A-stem + すぎる,"Use for excessive actions, qualities, or amounts.",Often carries a negative evaluation.
〜し,and; besides; because,"Lists parallel facts, reasons, or qualities.",普通形 + し,Use to give multiple reasons or add parallel information.,Often implies there are additional unstated reasons.
〜て欲しい,want someone to do,Expresses the speaker's desire for another person's action.,Vて + 欲しい,Use when the desired action is performed by someone else.,Can sound direct; relationship and politeness matter.
〜たらどうですか,why don't you; how about,Gives a suggestion using the たら conditional.,Vた + らどうですか,Use to suggest a course of action.,Politeness and tone can soften or strengthen the suggestion.
〜ていく,go and do; continue/change from now on,Combines て-form with 行く for movement away or development from the present forward.,Vて + いく,Use for movement away from the viewpoint or changes continuing into the future.,Contrasts with 〜てくる in viewpoint and temporal direction.
〜てくる,come and do; have come to; begin to,Combines て-form with 来る for movement toward the viewpoint or development up to the present.,Vて + くる,Use for movement toward the viewpoint or changes developing up to now.,Contrasts with 〜ていく.
〜ましょうか,shall I; shall we,Offers to do something or proposes joint action.,Vます-stem + ましょうか,Use as an offer when the speaker can perform the action.,Context distinguishes offer from proposal.
〜てあげる,do for someone,Expresses an action performed as a benefit for another person.,Vて + あげる,Use from the giver's viewpoint when the action benefits someone else.,Can sound patronizing if used toward higher-status people.
〜てくれる,do for me/us,Expresses someone doing something that benefits the speaker or speaker's in-group.,Vて + くれる,Use when the benefactor is outside the speaker's viewpoint and the recipient is the speaker/in-group.,Encodes viewpoint as well as benefit.
〜てもらう,have someone do; receive the favor of,Expresses receiving the benefit of another person's action.,Vて + もらう,Use from the recipient's viewpoint.,Often translates naturally as 'have/get someone to do'.
〜てくれてありがとう,thank you for doing,Thanks someone for an action that benefited the speaker.,Vて + くれてありがとう,Use in casual or neutral gratitude for an action.,Polite/honorific variants change the giving verb and thanks expression.
〜方がいい,had better; it is better to,Gives advice by comparing one course of action as preferable.,Vた / Vない + 方がいい,Use for positive or negative advice.,Can sound strong when unsolicited.
〜ないで,without doing; don't do and...,Links an action/state while another action is not performed.,Vない + で,Use for 'without doing' or in negative requests depending on context.,"Do not confuse with 〜なくて, which often links states/reasons."
〜やすい,easy to do; prone to,Describes an action as easy or a tendency as likely.,Vます-stem + やすい,Use for ease or tendency.,Functions like an い-adjective.
〜にくい,hard to do,Describes an action as difficult to perform.,Vます-stem + にくい,Use for practical or situational difficulty.,Functions like an い-adjective.
〜て（理由）,because; and so,The て-form can connect a cause or circumstance to a following result.,Vて / Aくて / N・Aで,Use when the first clause naturally explains the following state/result.,Less explicit than から or ので.
受身形,passive,Verb morphology that presents the affected participant as subject.,verb passive form,Use for ordinary passives and Japanese adversative passives.,Viewpoint determines which participant is foregrounded.
〜しか〜ない,only; nothing but,Marks an item as the sole possibility and requires a negative predicate.,N + しか + negative predicate,Use to emphasize limitation.,"Contrasts with だけ, which does not require negation."
〜ば,if,"Conditional form often used for general, logical, or hypothetical conditions.",verb/adjective ば-form,Use when the condition is presented as the basis for the result.,Restrictions depend on volition and clause relationship.
〜ばよかった,should have; wish I had,Expresses regret that a condition/action did not occur.,Vば + よかった,Use for hindsight and regret.,Negative form can express regret about having done something.
〜つもり,intend to; plan to,Expresses a relatively settled intention or plan.,V辞書形 / Vない + つもりだ,Use for planned future actions.,Usually stronger/more settled than a momentary 〜ようと思う.
〜間,during; while,Marks the whole duration of a period or ongoing event.,Nの / Vている + 間,Use when something continues throughout the interval.,Contrasts with 間に for an event occurring within the interval.
〜間に,while; during the time that,Marks an event occurring at some point within an interval.,Nの / Vている + 間に,Use for a bounded event inside an ongoing period.,Contrasts with 間 for continuous overlap.
〜ので,because; since,Gives a reason with a relatively explanatory or backgrounded tone.,普通形 + ので,"Use to explain circumstances or reasons, often more softly than から.",な-adjectives/nouns use な before ので.
