gid_unit,canonical,relationship
1,〜時,strong
1,〜時に,strong
2,〜てから,strong
2,〜後で,strong
3,〜ながら,strong
3,〜間,strong
3,〜間に,strong
4,〜ので,strong
4,〜から（理由）,strong
5,〜のに,strong
5,〜けれど／〜けど,strong
6,〜のに,strong
6,〜ても,strong
7,〜たら,exact
7,〜と（条件）,exact
7,〜ば,exact
7,〜なら,exact
8,〜ないで,strong
8,〜なくて,strong
9,〜そうだ（様態）,strong
9,〜みたいだ,strong
9,〜ようだ,strong
10,〜ておく,exact
10,〜てある,exact
11,〜にくい,strong
12,〜てから,related
13,可能形,strong
13,〜ことができる,strong
14,〜し,strong
15,〜たらどうですか,exact
15,〜方がいい,strong
16,Vます形＋に行く／来る,strong
16,〜ために,strong
17,〜てもいい,strong
17,〜てはいけない,strong
17,〜なくてはいけない,strong
17,〜なくてもいい,strong
18,〜ようと思う,exact
18,〜つもり,exact
19,〜は（主題）,strong
19,〜が（主語）,strong
20,〜しか〜ない,strong
20,〜だけ,strong
21,名詞修飾節,exact
22,〜時,related
22,〜前に,related
22,〜後で,related
22,〜間,related
22,〜間に,related
23,〜の（名詞化）,exact
23,〜こと（名詞化）,exact
24,行く,exact
24,来る,exact
25,〜ていく,exact
25,〜てくる,exact
26,あげる,strong
26,くれる,strong
26,もらう,strong
26,〜てあげる,strong
26,〜てくれる,strong
26,〜てもらう,strong
27,受身形,strong
29,名詞修飾節,related
29,〜時,related
29,〜みたいだ,related
29,〜ようだ,related
29,〜かもしれない,related
29,〜ので,related
29,〜のに,related
29,〜はず,related
29,〜なら,related
